street;street_type;lat;lon;named_after_person;annotation
Тихая улица;улица;54.8479255;83.0624069;False;Тихая улица — обычный городской топоним.
12-я улица;жилая улица;54.9265392;82.9850804;False;12-я улица — обычный городской топоним.
С-100;улица;54.9113059;82.9907;False;С-100 — обычный городской топоним.
Западная улица;улица;54.9145021;82.9794468;False;Западная улица — обычный городской топоним.
С-200 (Научная зона);улица;54.9145661;82.9878781;False;С-200 (Научная зона) — обычный городской топоним.
Бердский санаторий;улица;54.7939341;83.0464883;False;Бердский санаторий — обычный городской топоним.
Оренбургская улица;жилая улица;55.0377295;82.8816839;False;Оренбургская улица — обычный городской топоним.
Самарская улица;жилая улица;55.0371831;82.8805091;False;Самарская улица — обычный городской топоним.
Самарский переулок;жилая улица;55.037388;82.8814874;False;Самарский переулок — обычный городской топоним.
Тульская улица;жилая улица;54.9637352;82.8696146;False;Тульская улица — обычный городской топоним.
Мотодром РОСТО;улица;54.968652;82.8917406;False;Мотодром РОСТО — обычный городской топоним.
2-я Станционная улица;главная улица;55.0048749;82.8180617;False;2-я Станционная улица — обычный городской топоним.
Малороссийская улица;жилая улица;55.0893221;82.6691349;False;Малороссийская улица — обычный городской топоним.
улица Академика Будкера;улица;54.8521862;83.1144424;False;улица Академика Будкера — обычный городской топоним.
улица Петкау;жилая улица;55.093987;82.7748051;False;улица Петкау — обычный городской топоним.
Зелёная улица;жилая улица;55.0932557;82.7724282;False;Зелёная улица — обычный городской топоним.
улица Дубравы;ул. общегородского значения;54.9931521;82.9917418;False;улица Дубравы — обычный городской топоним.
5-й Экскаваторный переулок;жилая улица;55.0207341;82.8025963;False;5-й Экскаваторный переулок — обычный городской топоним.
Сухарная улица;ул. районного значения;55.0465606;82.8731331;False;Сухарная улица — обычный городской топоним.
Геофизическая улица;жилая улица;55.0387525;82.9983998;False;Геофизическая улица — обычный городской топоним.
улица Суркова;жилая улица;55.0384259;82.9974414;False;улица Суркова — обычный городской топоним.
Национальная улица;жилая улица;55.0386152;82.9961336;False;Национальная улица — обычный городской топоним.
2-й переулок Доватора;жилая улица;55.0426919;82.9928101;False;2-й переулок Доватора — обычный городской топоним.
1-й переулок Доватора;жилая улица;55.0435176;82.9946833;False;1-й переулок Доватора — обычный городской топоним.
7-й Трикотажный переулок;жилая улица;55.043904;82.9934313;False;7-й Трикотажный переулок — обычный городской топоним.
улица Мальцева;жилая улица;54.8317712;83.0991438;False;улица Мальцева — обычный городской топоним.
улица Тимирязева;жилая улица;55.0501111;82.8767857;False;улица Тимирязева — обычный городской топоним.
улица Достоевского;жилая улица;55.0456147;82.9140868;False;улица Достоевского — обычный городской топоним.
улица Некрасова;жилая улица;55.0464988;82.9345998;False;улица Некрасова — обычный городской топоним.
Бурлинский переезд;проезд;55.0449945;82.9010996;False;Бурлинский переезд — обычный городской топоним.
